Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,73.56479999999975,30.732791999999986,79.7098388671875,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:28:18
2,95.72260000000009,35.60893399999995,163.67694687843323,0.7726723095525998,1278,376,376,0.00752,1278,376,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:29:41
3,95.72260000000009,39.26763319999998,250.53817081451416,0.7966399197592778,3177,811,811,0.01622,1899,435,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:31:08
4,95.72260000000009,42.512794399999926,340.2794008255005,0.7935579689965655,8549,2224,2224,0.04448,5372,1413,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:32:38
5,90.25060000000003,44.41052039999995,431.71632981300354,0.7842247371746999,13651,3756,3756,0.07512,5102,1532,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:34:10
6,90.25060000000003,45.00290959999987,522.5044300556183,0.7361997571530869,23646,8473,8473,0.16946,9995,4717,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:35:40
7,90.25060000000003,44.71351719999995,613.6326477527618,0.7214296790200031,37220,14372,14372,0.28744,13574,5899,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:37:11
8,92.28320000000035,45.905641999999936,705.0276908874512,0.7339051163794266,54422,19732,19732,0.39464,17202,5360,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:38:43
9,94.18640000000067,46.3172983999999,797.8643457889557,0.7364003433694719,69486,24873,24873,0.49746,15064,5141,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:40:16
10,119.0630000000009,45.621236799999885,889.412878036499,0.7449561744722784,86181,29505,29505,0.5901,16695,4632,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:41:47
11,119.0630000000009,46.98063839999992,981.9133548736572,0.7519619383951344,107317,35399,35399,0.70798,21136,5894,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:43:20
12,119.0630000000009,47.007657999999964,1074.7729647159576,0.7573673291369026,128501,41167,41167,0.82334,21184,5768,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:44:53
13,119.0630000000009,47.156668799999984,1167.5994019508362,0.7587225336716376,151309,48117,48117,0.96234,22808,6950,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:46:25
14,119.0630000000009,46.70753879999994,1259.7204358577728,0.7595410663706168,179933,56964,56964,1.13928,28624,8847,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:47:58
15,119.0630000000009,47.00453999999994,1352.3719458580017,0.764804469273743,212195,65255,58291,1.16582,32262,8291,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:49:30
16,119.0630000000009,48.5536975999999,1445.475388765335,0.7714420969157151,255848,75801,60546,1.21092,43653,10546,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:51:03
17,119.0630000000009,47.25818399999992,1538.3987760543823,0.7739329713846734,299211,87400,61599,1.23198,43363,11599,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:52:36
18,119.0630000000009,49.29481999999996,1633.1673889160156,0.7764155773682667,354839,102183,64783,1.29566,55628,14783,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:54:11
19,119.0630000000009,47.58231199999993,1726.1583669185638,0.7785010940919037,398468,113372,61189,1.22378,43629,11189,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:55:44
20,119.0630000000009,48.46971639999997,1819.7799518108368,0.7790749966010465,446960,126746,63374,1.26748,48492,13374,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:57:18
21,119.0630000000009,49.27794639999992,1914.9417989253998,0.7781597614821459,492765,140479,63733,1.27466,45805,13733,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:58:53
22,137.98280000000122,48.66128639999995,2008.3604810237885,0.7767414057899393,524970,150892,60413,1.20826,32205,10413,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:00:26
23,137.98280000000122,49.80331799999998,2103.1898868083954,0.776115285147367,556990,160674,59782,1.19564,32020,9782,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:02:01
24,137.98280000000122,49.512316399999946,2197.9205627441406,0.7742889578959607,592688,172773,62099,1.24198,35698,12099,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:03:36
25,137.98280000000122,50.46916999999999,2294.59747672081,0.7714257138200299,624753,185115,62342,1.24684,32065,12342,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:05:12
26,141.75900000000095,51.32498559999993,2392.8308238983154,0.7679424801289352,656117,198266,63151,1.26302,31364,13151,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:06:51
27,141.75900000000095,52.51278239999997,2493.6472177505493,0.7661985160550636,693012,211469,63203,1.26406,36895,13203,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:08:31
28,141.75900000000095,52.616169599999964,2593.9011130332947,0.7634903066648947,735345,227791,66322,1.32644,42333,16322,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:10:12
29,191.93020000000212,53.3076556,2696.08678483963,0.7587207991672728,774094,246168,68377,1.36754,38749,18377,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:11:54
30,191.93020000000212,55.40383079999995,2800.2272617816925,0.7539623350293067,818880,267222,71054,1.42108,44786,21054,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:13:38
31,191.93020000000212,52.23685119999996,2899.6337218284607,0.7479276050254932,867243,292285,75063,1.50126,48363,25063,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:15:17
32,191.93020000000212,52.80071959999996,3001.3568258285522,0.7435687251286741,917079,316269,73984,1.47968,49836,23984,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:16:59
33,191.93020000000212,57.33076040000003,3107.3319289684296,0.7388747200843182,978644,345862,79593,1.59186,61565,29593,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:18:45
34,191.93020000000212,57.11412560000003,3213.0940856933594,0.7336992083230389,1030471,374016,78154,1.56308,51827,28154,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:20:31
35,191.93020000000212,58.220807599999944,3319.2461607456207,0.7255362889409931,1079939,408531,84515,1.6903,49468,34515,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:22:17
36,220.1132000000042,58.197911600000005,3424.6474149227142,0.7197971537835263,1121038,436398,77867,1.55734,41099,27867,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:24:02
37,220.1132000000042,55.4278904,3526.0964958667755,0.7156600883969826,1155620,459141,72743,1.45486,34582,22743,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:25:44
38,220.1132000000042,57.632527200000034,3630.745220899582,0.7122301337007154,1185428,478961,69820,1.3964,29808,19820,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:27:29
39,220.1132000000042,58.86281280000004,3737.2256309986115,0.7096770426561536,1215444,497228,68267,1.36534,30016,18267,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:29:15
40,220.1132000000042,58.04633800000003,3841.733964920044,0.7073166022288957,1245494,515378,68150,1.363,30050,18150,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:31:00
41,220.1132000000042,61.046785600000035,3950.17218875885,0.7067172686924169,1270178,527115,61737,1.23474,24684,11737,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:32:48
42,220.1132000000042,60.34270360000003,4057.56742978096,0.7058832844347394,1292713,538628,61513,1.23026,22535,11513,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:34:35
43,289.216600000005,62.50716440000004,4167.02995300293,0.7058481655594421,1314086,547626,58998,1.17996,21373,8998,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:36:25
44,289.216600000005,62.03614960000005,4277.39835691452,0.7070058788525898,1340206,555402,57776,1.15552,26120,7776,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:38:15
45,289.216600000005,60.69948200000007,4385.489204883575,0.7084230846862886,1368808,563382,57980,1.1596,28602,7980,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:40:03
46,289.216600000005,63.89557960000004,4498.455536842346,0.7101589578526734,1406979,574238,60856,1.21712,38171,10856,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:41:56
47,289.216600000005,62.39683320000002,4608.120560884476,0.7111839345456661,1442744,585907,61669,1.23338,35765,11669,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:43:46
48,289.216600000005,63.83267640000007,4719.497773885727,0.7118107809403647,1478100,598435,62528,1.25056,35356,12528,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:45:37
49,289.216600000005,63.68542800000012,4830.830786943436,0.7129648889160788,1515029,609941,61506,1.23012,36929,11506,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:47:29
50,289.216600000005,64.60052520000006,4943.621670722961,0.7143127584042552,1554586,621752,61811,1.23622,39557,11811,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:49:21
