Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,83.84680000000009,30.319212000000007,76.89555096626282,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:40:58
2,110.16600000000061,35.931389999999965,158.68204188346863,0.7671043538355218,1110,337,337,0.0022466666666666668,1110,337,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:42:20
3,110.16600000000061,39.92380759999996,244.14177894592285,0.7890329012961117,3957,1058,1058,0.007053333333333333,2847,721,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:43:46
4,110.16600000000061,43.70470519999992,331.49417185783386,0.8121357285429142,10172,2353,2353,0.015686666666666668,6215,1295,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:45:13
5,110.16600000000061,45.86365639999993,421.3557469844818,0.8092135403410537,15897,3748,3748,0.024986666666666667,5725,1395,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:46:43
6,110.16600000000061,45.644211199999994,510.4188048839569,0.8002488900847572,23793,5939,5939,0.039593333333333335,7896,2191,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:48:12
7,110.16600000000061,44.76841479999991,599.109570980072,0.7895730182852101,32213,8585,8585,0.05723333333333333,8420,2646,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:49:40
8,110.16600000000061,44.00518199999995,688.2751801013947,0.790825514169273,41720,11035,11035,0.07356666666666667,9507,2450,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:51:10
9,110.16600000000061,46.41886839999992,789.1105740070343,0.7957206881596067,55040,14130,14130,0.0942,13320,3095,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:52:50
10,110.16600000000061,44.24449759999995,886.4322171211243,0.7931735309940822,66345,17300,17300,0.11533333333333333,11305,3170,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:54:28
11,110.16600000000061,44.87120359999994,979.7351539134979,0.78942,78942,21058,21058,0.14038666666666666,12597,3758,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:56:01
12,110.16600000000061,45.731212799999994,1068.6345570087433,0.7880682749281974,91371,24572,24572,0.16381333333333334,12429,3514,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:57:30
13,110.16600000000061,45.58091759999995,1156.801012992859,0.7798260149130074,105420,29764,29764,0.19842666666666667,14049,5192,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 00:58:58
14,110.16600000000061,46.01414679999991,1245.3966588974,0.7779414213080952,121488,34678,34678,0.23118666666666668,16068,4914,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:00:27
15,110.16600000000061,47.01327399999996,1334.3110959529877,0.7754155328984035,141915,41103,41103,0.27402,20427,6425,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:01:56
16,122.66780000000067,48.27077199999988,1425.2430038452148,0.7812226142312914,172051,48182,48182,0.32121333333333335,30136,7079,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:03:27
17,122.66780000000067,46.56235439999995,1515.357754945755,0.7839950425734692,199896,55075,55075,0.36716666666666664,27845,6893,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:04:57
18,122.66780000000067,49.16630239999992,1607.1743948459625,0.7861625837799823,221337,60204,60204,0.40136,21441,5129,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:06:29
19,122.66780000000067,49.11563479999986,1699.4997808933258,0.7890798997772829,249425,66671,66671,0.44447333333333333,28088,6467,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:08:01
20,138.40960000000118,49.2149699999999,1793.0694651603699,0.7918455304589038,276324,72638,72638,0.4842533333333333,26899,5967,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:09:34
21,138.40960000000118,50.53912439999997,1888.4701669216156,0.7907851495305391,302949,80150,80150,0.5343333333333333,26625,7512,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:11:10
22,138.40960000000118,52.061947199999985,1986.0096969604492,0.7841027166931157,332033,91423,91423,0.6094866666666666,29084,11273,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:12:47
23,138.40960000000118,53.09835359999993,2086.11799287796,0.7748895314526005,366336,106423,106423,0.7094866666666667,34303,15000,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-23 01:14:27
