Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Generation_Time_s,Timestamp
29,136.13820000000112,50.54748999999997,2627.9476931095123,0.7804225999331106,1435084,403771,100000,1.0,95272,33364,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:54:02
30,136.13820000000112,51.76177879999998,2727.491896867752,0.7768411009256084,1533945,440648,100000,1.0,98861,36877,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:55:41
31,158.0090000000015,52.39344679999999,2828.636319875717,0.7739039994365338,1648164,481511,100000,1.0,114219,40863,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:57:22
32,168.63360000000188,54.37736719999997,2931.5724017620087,0.7709697115812976,1765203,524385,100000,1.0,117039,42874,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:59:05
33,168.63360000000188,55.04770679999999,3035.7857699394226,0.768013880052456,1892804,571740,100000,1.0,127601,47355,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:00:50
34,168.63360000000188,54.542913999999996,3140.2044270038605,0.7639563441268519,1995784,616648,100000,1.0,102980,44908,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:02:34
35,168.63360000000188,55.37064519999999,3247.246783018112,0.7598824679111269,2082350,658008,100000,1.0,86566,41360,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:04:21
36,183.16360000000222,55.285111999999984,3352.8080468177795,0.7549975360862528,2152615,698540,100000,1.0,70265,40532,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:06:07
37,183.16360000000222,55.332734399999985,3459.060073852539,0.749385316463853,2232855,746727,100000,1.0,80240,48187,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:07:53
38,183.16360000000222,57.34755639999993,3566.619828939438,0.744217333063498,2316756,796254,100000,1.0,83901,49527,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:09:40
39,183.16360000000222,58.93288640000003,3677.3506350517273,0.7377338246154687,2404442,854785,100000,1.0,87686,58531,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:11:31
40,183.16360000000222,57.609528,3785.7889478206635,0.7318442926016037,2496951,914910,100000,1.0,92509,60125,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:13:20
41,183.16360000000222,59.27452600000009,3895.4465248584747,0.7264927502370158,2587000,973944,100000,1.0,90049,59034,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:15:09
42,186.86060000000296,59.13852440000003,4005.705340862274,0.7226342866407491,2669802,1024739,100000,1.0,82802,50795,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:16:59
43,186.86060000000296,60.43313640000002,4117.823145866394,0.7167281647138645,2746574,1085526,100000,1.0,76772,60787,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:18:52
44,186.86060000000296,62.22153160000002,4231.507415056229,0.7116266550642839,2826295,1145303,100000,1.0,79721,59777,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:20:45
45,186.86060000000296,61.772854400000014,4343.236191034317,0.7070581008414024,2908644,1205083,100000,1.0,82349,59780,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:22:37
46,186.86060000000296,62.06989319999999,4456.147348880768,0.7039417932081901,2997910,1260837,100000,1.0,89266,55754,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:24:30
47,191.89260000000328,63.667803200000044,4572.494095802307,0.7033836334928376,3086721,1301668,100000,1.0,88811,40831,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:26:26
48,191.89260000000328,64.23337240000002,4689.431231021881,0.7033490169478044,3183326,1342629,100000,1.0,96605,40961,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:28:23
49,191.89260000000328,63.733043600000066,4802.671768903732,0.7042897207595122,3298786,1385062,100000,1.0,115460,42433,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:30:16
50,191.89260000000328,63.64447239999999,4915.782959938049,0.7057646203847879,3411657,1422330,100000,1.0,112871,37268,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 21:32:10
