Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,76.51500000000006,31.227944799999992,78.74052572250366,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:36:34
2,76.9914,35.038505999999984,160.0137186050415,0.7820224719101123,1392,388,388,0.00388,1392,388,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:37:55
3,76.9914,38.26531399999996,244.93978595733643,0.7825434913017396,5218,1450,1450,0.0145,3826,1062,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:39:20
4,92.6400000000004,42.49484599999988,331.9847218990326,0.7970569553250053,15058,3834,3834,0.03834,9840,2384,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:40:47
5,92.6400000000004,43.106559999999945,419.0050587654114,0.804900509784575,24473,5932,5932,0.05932,9415,2098,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:42:14
6,92.6400000000004,44.85432519999991,507.5512628555298,0.8008639813193228,34297,8528,8528,0.08528,9824,2596,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:43:43
7,92.6400000000004,45.09137839999995,595.8172008991241,0.7991782507964089,44153,11095,11095,0.11095,9856,2567,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:45:11
8,92.6400000000004,44.30293799999993,682.979841709137,0.794789863755381,53727,13872,13872,0.13872,9574,2777,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:46:38
9,92.6400000000004,45.530542399999895,771.2622079849243,0.7937297404300596,64154,16672,16672,0.16672,10427,2800,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:48:07
10,92.6400000000004,45.712994399999914,859.4405617713928,0.7952604023146872,75036,19318,19318,0.19318,10882,2646,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:49:35
11,92.6400000000004,46.90092319999992,948.0408797264099,0.7977860752809837,84610,21446,21446,0.21446,9574,2128,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:51:04
12,98.9916000000006,46.78072599999993,1036.8968617916107,0.7936892021371617,97746,25408,25408,0.25408,13136,3962,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:52:32
13,99.10360000000061,45.71520999999995,1125.0807118415833,0.7901699088209315,113613,30170,30170,0.3017,15867,4762,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:54:01
14,102.59400000000029,47.42263519999993,1215.0629398822784,0.786689479585163,134719,36529,36529,0.36529,21106,6359,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:55:31
15,102.59400000000029,47.113611999999875,1305.2271518707275,0.7834656071711665,160120,44254,44254,0.44254,25401,7725,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:57:01
16,102.59400000000029,47.21680919999993,1395.4493288993835,0.7751666998407644,186933,54219,54219,0.54219,26813,9965,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 13:58:31
17,102.59400000000029,48.438685999999926,1487.1347618103027,0.7633675412247479,222114,68852,68852,0.68852,35181,14633,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:00:03
18,102.59400000000029,49.184525999999934,1579.1576159000397,0.7590727939620512,258273,81975,81975,0.81975,36159,13123,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:01:35
19,108.62440000000048,48.64067639999993,1670.3910338878632,0.7561497993387536,290912,93816,93816,0.93816,32639,11841,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:03:06
20,115.43300000000107,48.49835679999991,1762.2421429157257,0.7579633745470845,324663,103673,103673,1.03673,33751,9857,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:04:38
21,125.15320000000081,47.72513799999999,1854.0740597248077,0.7609898767288343,369472,116043,112370,1.1237,44809,12370,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:06:10
22,125.15320000000081,48.757539999999935,1946.4543108940125,0.7648969915940286,428493,131704,115661,1.15661,59021,15661,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:07:42
23,125.15320000000081,50.0142556,2040.4195289611816,0.7678484418862717,488519,147699,115995,1.15995,60026,15995,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:09:16
24,125.15320000000081,51.27945319999989,2137.0358967781067,0.7698234663025456,536724,160480,112781,1.12781,48205,12781,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 14:10:53
