Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,78.6396,32.3119568,81.46560287,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:12
2,109.9388,37.1926564,167.0035009,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:14
3,109.9388,42.0688752,255.9390349,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:15
4,144.6346,44.1497352,346.4112918,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:17
5,144.6346,46.371326,439.2906539,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:18
6,144.6346,46.707712,533.0226791,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:20
7,144.6346,46.3136808,626.3228188,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:21
8,144.6346,46.8848996,719.695174,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:23
9,144.6346,46.9754156,813.1139178,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:24
10,144.6346,47.8272488,907.95965,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:26
11,144.6346,48.92788,1003.816984,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:27
12,144.6346,48.4287664,1098.333019,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:29
13,144.6346,50.893738,1196.437845,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:31
14,144.6346,51.3903572,1295.008316,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:32
