Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,73.17279999999975,30.72127200000001,79.61934185028076,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:13:19
2,85.27320000000034,36.05093039999996,162.83098101615906,0.7970588235294118,1084,276,276,0.00184,1084,276,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:14:42
3,85.27320000000034,40.474371999999946,249.4378969669342,0.7715487035739313,2202,652,652,0.004346666666666667,1118,376,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:16:09
4,87.70960000000024,43.42939079999989,338.83635115623474,0.7632286995515695,5106,1584,1584,0.01056,2904,932,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:17:38
5,88.15280000000028,43.5003963999999,428.1304609775543,0.781541802388708,10797,3018,3018,0.02012,5691,1434,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:19:07
6,90.69640000000037,44.53273959999997,517.8472621440887,0.8090342798180915,21170,4997,4997,0.033313333333333334,10373,1979,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:20:37
7,90.69640000000037,44.363501199999924,607.5914499759674,0.8045564903167522,28499,6923,6923,0.04615333333333333,7329,1926,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:22:07
8,113.30620000000064,44.7764679999999,697.6815400123596,0.7957347550816395,38208,9808,9808,0.06538666666666666,9709,2885,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:23:37
9,113.30620000000064,46.93948199999996,790.2595520019531,0.7874633039765145,47210,12742,12742,0.08494666666666667,9002,2934,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:25:10
10,124.7816000000009,47.95968239999996,883.5174849033356,0.7863586588100329,60320,16388,16388,0.10925333333333333,13110,3646,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:26:43
11,127.16860000000085,48.087628399999936,977.1706688404083,0.7861236265907834,79562,21646,21646,0.14430666666666667,19242,5258,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:28:17
12,127.16860000000085,47.80815439999992,1069.9958832263947,0.765251936910914,96698,29663,29663,0.19775333333333334,17136,8017,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:29:49
13,127.16860000000085,49.49886559999994,1164.8647289276123,0.742965572983759,117659,40705,40705,0.27136666666666664,20961,11042,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:31:24
14,127.16860000000085,48.57103319999996,1258.0114760398865,0.7232062397857619,142050,54367,54367,0.36244666666666664,24391,13662,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:32:57
15,127.16860000000085,48.75700919999991,1351.5866420269012,0.7137014838720694,167186,67066,67066,0.44710666666666665,25136,12699,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:34:31
16,127.16860000000085,50.01091199999995,1447.111515045166,0.714006174883983,187553,75124,75124,0.5008266666666666,20367,8058,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:36:06
17,127.16860000000085,48.9189379999999,1541.5946068763733,0.7165049498689637,203956,80698,80698,0.5379866666666666,16403,5574,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:37:41
18,127.16860000000085,49.98962319999992,1637.325464963913,0.7189172753244943,226978,88744,88744,0.5916266666666666,23022,8046,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:39:17
19,127.16860000000085,49.834176799999945,1733.3429851531982,0.7210530441371582,248366,96083,96083,0.6405533333333333,21388,7339,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:40:53
20,151.0240000000023,50.949696799999934,1830.9380819797516,0.7265560399155447,271506,102183,102183,0.68122,23140,6100,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:42:30
21,157.41200000000157,52.42022999999992,1929.9158639907837,0.7288105704989692,293441,109189,109189,0.7279266666666667,21935,7006,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:44:09
22,157.41200000000157,51.55757119999993,2028.095882177353,0.7338086791023403,317701,115247,115247,0.7683133333333333,24260,6058,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:45:47
23,190.0984000000029,53.54650799999998,2128.6316261291504,0.7382638742224361,339075,120212,120212,0.8014133333333333,21374,4965,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:47:28
24,190.0984000000029,53.932507599999965,2229.1819338798523,0.7411264897718698,358494,125221,125221,0.8348066666666667,19419,5009,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:49:09
25,190.0984000000029,53.84102319999997,2330.372806072235,0.7452489576991546,386817,132227,132227,0.8815133333333334,28323,7006,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:50:50
26,190.0984000000029,54.25127719999997,2431.399223804474,0.7487247062946125,410236,137677,137677,0.9178466666666667,23419,5450,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:52:31
27,190.0984000000029,56.001229199999926,2534.379020214081,0.7530079498614125,432774,141953,141953,0.9463533333333334,22538,4276,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:54:14
28,190.0984000000029,56.48837639999995,2637.9224741458893,0.756844889769003,459781,147716,147716,0.9847733333333333,27007,5763,True,complex,maximum_cache,True,True,True,128,150000,0.1,0,2025-06-22 23:55:57
