Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,81.51260000000002,30.20619640000001,78.73578023910522,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:28:11
2,81.51260000000002,34.773659999999964,161.80132508277893,0.7507163323782235,1310,435,435,0.0087,1310,435,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:29:34
3,81.51260000000002,39.403565599999965,248.27732515335083,0.7950539331754801,3022,779,779,0.01558,1712,344,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:31:01
4,81.51260000000002,42.85934799999997,336.6693754196167,0.7862781685086838,5478,1489,1489,0.02978,2456,710,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:32:29
5,83.9922000000001,44.36383519999989,428.3282890319824,0.7948610529255691,11384,2938,2938,0.05876,5906,1449,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:34:01
6,83.9922000000001,45.654871599999986,519.1556842327118,0.8070551883958459,18806,4496,4496,0.08992,7422,1558,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:35:32
7,83.9922000000001,46.48765239999991,611.4534752368927,0.8149390406218389,30614,6952,6952,0.13904,11808,2456,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:37:04
8,87.79860000000028,45.99591759999992,703.4748132228851,0.8120786827273732,44091,10203,10203,0.20406,13477,3251,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:38:36
9,101.48140000000039,45.66091079999989,794.7901680469513,0.8056740489686204,55150,13302,13302,0.26604,11059,3099,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:40:07
10,101.13140000000038,45.964304399999904,886.2169411182404,0.7953539328354872,71146,18306,18306,0.36612,15996,5004,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:41:39
11,130.07540000000125,46.316055999999946,977.418543100357,0.7908199080411358,90125,23839,23839,0.47678,18979,5533,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:43:10
12,130.07540000000125,46.575036799999914,1069.2241263389587,0.7864352841728407,110712,30065,30065,0.6013,20587,6226,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:44:42
13,130.07540000000125,46.96895399999996,1161.5522372722626,0.7872917473847346,130048,35136,35136,0.70272,19336,5071,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:46:14
14,130.07540000000125,46.5936347999999,1252.9424502849579,0.7851551293085782,153256,41936,41936,0.83872,23208,6800,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:47:45
15,130.07540000000125,46.35747399999999,1344.8153133392334,0.7849318101887431,180780,49533,49533,0.99066,27524,7597,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:49:17
16,130.07540000000125,47.061042399999934,1436.9216961860657,0.785408451339576,208932,57085,57085,1.1417,28152,7552,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:50:49
17,130.07540000000125,47.801645999999955,1529.636753320694,0.7859747949536322,234685,63906,56821,1.13642,25753,6821,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:52:22
18,135.814000000001,48.3522567999999,1622.848440170288,0.7880326167531505,265764,71486,57580,1.1516,31079,7580,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:53:55
19,202.56180000000194,50.00550079999994,1717.6484792232513,0.7911373488749766,299114,78967,57481,1.14962,33350,7481,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:55:30
20,202.56180000000194,48.14161759999995,1811.6049411296844,0.7929391468649237,347481,90738,61771,1.23542,48367,11771,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:57:04
21,202.56180000000194,49.190239999999925,1907.8981611728668,0.790678216063614,394059,104322,63584,1.27168,46578,13584,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 20:58:40
22,202.56180000000194,49.81703319999998,2003.9848132133484,0.7893898686812261,445133,118762,64440,1.2888,51074,14440,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:00:16
23,202.56180000000194,50.62706199999994,2101.5522553920746,0.7877155881385404,502854,135516,66754,1.33508,57721,16754,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:01:54
