Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,78.63959999999999,32.3119568,81.46560287475586,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:12:37
2,109.93880000000084,37.19265639999995,167.00350093841553,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:14:02
3,109.93880000000084,42.06887519999994,255.93903493881226,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:15:31
4,144.63460000000148,44.14973519999989,346.41129183769226,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:17:02
5,144.63460000000148,46.37132599999988,439.2906539440155,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:18:35
6,144.63460000000148,46.707711999999894,533.0226790904999,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:20:08
7,144.63460000000148,46.31368079999996,626.3228187561035,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:21:42
8,144.63460000000148,46.884899599999855,719.6951739788055,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:23:15
9,144.63460000000148,46.975415599999906,813.1139178276062,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:24:49
10,144.63460000000148,47.82724879999987,907.9596500396729,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:26:23
11,144.63460000000148,48.92787999999992,1003.8169839382172,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:27:59
12,144.63460000000148,48.42876639999994,1098.3330187797546,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:29:34
13,144.63460000000148,50.89373799999987,1196.437844991684,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:31:12
14,144.63460000000148,51.3903572,1295.0083158016205,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:32:50
15,144.63460000000148,52.41605399999993,1396.477252960205,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:34:32
16,162.6740000000013,53.86963039999994,1499.5523478984833,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:36:15
17,162.6740000000013,54.15987519999999,1602.1608719825745,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:37:58
18,162.6740000000013,53.5780624,1706.6046228408813,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:39:42
19,162.6740000000013,54.89723839999993,1811.8016288280487,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:41:27
20,179.81380000000337,57.01263199999998,1919.674348115921,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:43:15
21,179.81380000000337,56.91054239999999,2025.6172580718994,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:45:01
22,179.81380000000337,57.70737040000009,2133.231414079666,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:46:49
23,179.81380000000337,57.37714239999998,2241.098151922226,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:48:37
24,179.81380000000337,58.31118439999999,2348.7381896972656,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:50:24
25,179.81380000000337,62.60069119999999,2460.6516087055206,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:52:16
26,199.19120000000308,62.28801880000003,2573.1133029460907,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:54:09
27,199.19120000000308,59.684779200000044,2682.982809782028,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:55:58
28,199.19120000000308,60.92965120000003,2793.6894867420197,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:57:49
29,199.19120000000308,61.300233600000006,2904.5589168071747,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 17:59:40
30,199.19120000000308,59.133418400000004,3013.210961818695,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:01:29
31,199.19120000000308,60.420623200000065,3123.27841591835,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:03:19
32,199.19120000000308,61.86695040000006,3234.6529858112335,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:05:10
33,199.19120000000308,60.22841040000005,3343.8762469291687,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:06:59
34,199.19120000000308,62.36795840000003,3454.9989697933197,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:08:50
35,199.19120000000308,61.78414800000006,3566.640679836273,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:10:42
36,199.19120000000308,61.44318480000006,3677.6461379528046,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:12:33
37,200.99260000000234,63.14675400000002,3789.316659927368,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:14:25
38,200.99260000000234,65.47436640000004,3904.6876480579376,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:16:20
39,200.99260000000234,66.56931360000007,4019.5898308753967,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:18:15
40,203.69320000000243,63.58161360000008,4132.149828910828,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:20:08
41,203.69320000000243,63.66364640000006,4244.49417591095,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:22:00
42,203.69320000000243,64.88269360000005,4358.736758947372,0.0,0,0,0,0.0,0,0,False,complex,none,False,False,False,128,100000,0.1,0,2025-06-22 18:23:54
