Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,75.52199999999995,30.903246800000012,79.29496216773987,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:50:56
2,81.84759999999999,34.82655479999999,161.2823131084442,0.8122786304604487,1376,318,318,0.00636,1376,318,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:52:18
3,81.84759999999999,38.687031599999905,246.54409313201904,0.8059800664451827,4852,1168,1168,0.02336,3476,850,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:53:43
4,89.0586000000003,42.88285759999994,334.54362201690674,0.8135966845957147,9227,2114,2114,0.04228,4375,946,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:55:11
5,89.0586000000003,43.634704399999926,423.6556899547577,0.8015006068630697,14528,3598,3598,0.07196,5301,1484,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:56:40
6,89.0586000000003,45.17216359999993,512.4485950469971,0.8046819787985866,27327,6633,6633,0.13266,12799,3035,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:58:09
7,89.0586000000003,45.56856599999989,601.2843298912048,0.8057947405166395,34625,8345,8345,0.1669,7298,1712,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 21:59:38
8,89.0586000000003,45.88936119999987,690.4113581180573,0.8096694796061885,46054,10826,10826,0.21652,11429,2481,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:01:07
9,93.0004000000005,45.879947999999914,780.6013009548187,0.8017572691158011,61959,15320,15320,0.3064,15905,4494,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:02:37
10,95.07820000000056,45.23847399999989,869.3172500133514,0.7837140947146146,73858,20383,20383,0.40766,11899,5063,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:04:06
11,98.72700000000047,46.55607599999995,959.5946650505066,0.7826952885620562,86851,24113,24113,0.48226,12993,3730,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:05:36
12,98.72700000000047,45.64817919999989,1048.9746799468994,0.7857532075097835,95172,25950,25950,0.519,8321,1837,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:07:05
13,98.72700000000047,45.90561799999994,1138.3226511478424,0.7833680644048994,104506,28900,28900,0.578,9334,2950,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:08:35
14,105.79740000000089,47.91557199999989,1228.955157995224,0.7799095482086671,116747,32946,32946,0.65892,12241,4046,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:10:05
15,106.43260000000076,47.81516199999986,1320.0730979442596,0.7766002787600935,134838,38788,38788,0.77576,18091,5842,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:11:36
16,117.68340000000067,48.68129879999992,1411.4476199150085,0.7810079955140042,161564,45302,45302,0.90604,26726,6514,True,complex,maximum_cache,True,True,True,128,50000,0.1,0,2025-06-22 22:13:08
